lemma,root,sources,phonetic,pos,glosses,norm_freq
banda,b-n-d-j,['Spagnol2011'],bɐndɐ,VERB,"to ban, to ostracise, to exile",134.47977124349003
basta,b-s-t-j,['Spagnol2011'],bɐstɐ,VERB,to suffice,65.6110435237481
ċempel,ċ-m-p-l,"['Spagnol2011', 'Falzon2013']",ʧɛmpɛl,VERB,"to ring, to call somebody on the phone",38.56263607375973
fonda,f-n-d-j,['Spagnol2011'],fɔndɐ,VERB,"to deepen, to plunge, to dive to the bottom, to cast liquid metal",210.7424792258141
fixkel,f-x-k-l,"['Spagnol2011', 'Falzon2013']",fɪʃkɛl,VERB,"to confuse, to thwart, to disrupt",17.7447502449271
tfixkel,f-x-k-l,"['Spagnol2011', 'Falzon2013']",tfɪʃkɛl,VERB,"to stumble, to become confused",15.51010726811851
gawda,g-w-d-j,['Spagnol2011'],gɐʊdɐ,VERB,"to enjoy, to take pleasure in something, to have an orgasm",88.83608516242839
għargħar,għ-r-għ-r,['Spagnol2011'],ɐːrɐːr,VERB,"to flood, to gurgle, to make a bubbling noise",34.049218930295346
kompla,k-m-pl-j,"['Spagnol2011', 'Falzon2013']",kɔmplɐ,VERB,to continue something,774.3940598070459
tkompla,k-m-pl-j,['Spagnol2011'],tkɔmplɐ,VERB,to be continued,35.946860093725256
kanta,k-n-t-j,"['Spagnol2011', 'Falzon2013']",kɐntɐ,VERB,to sing,21.76068852102297
kopra,k-p-r-j,['Spagnol2011'],kɔprɐ,VERB,"to cover, to account for",74.64188973702662
lesta,l-s-t-j,"['Spagnol2011', 'Falzon2013']",lɛstɐ,VERB,"to finish, to complete",149.6288051401314
tlesta,l-s-t-j,['Spagnol2011'],tlɛstɐ,VERB,to be finished,108.84757379496206
parta,p-r-t-j,['Spagnol2011'],pɐrtɐ,VERB,"to leave, to depart",724.9109602092772
qanqal,q-n-q-l,"['Spagnol2011', 'Falzon2013']",ʔɐnʔɐl,VERB,"to excite, to agitate, to arouse, to provoke",29.41945592268832
tqanqal,q-n-q-l,['Spagnol2011'],tʔɐnʔɐl,VERB,"to be excited, to be agitated, to be provoked, to be aroused",20.200049170971727
tranġa,r-n-ġ-j,['Spagnol2011'],trɐnʤɐ,VERB,"to be arranged, to be set straight, to be rectified or resolved",15.494059562719526
salva,s-l-v-j,"['Spagnol2011', 'Falzon2013']",sɐlvɐ,VERB,"to save somebody, to rescue, to redeem",63.71340236031818
solva,s-l-v-j,"['Spagnol2011', 'Falzon2013']",sɔlvɐ,VERB,"to solve, to figure out",38.446290209617096
ssolva,s-l-v-j,['Spagnol2011'],ssɔlvɐ,VERB,to be solved,16.729732878441332
serva,s-r-v-j,"['Spagnol2011', 'Falzon2013']",sɛrvɐ,VERB,"to serve, to be appropriate for something",116.42610266963248
varja,v-r-j-j,"['Spagnol2011', 'Falzon2013']",vɐrjɐ,VERB,"to vary, to improvise (on an instrument)",39.710047009787125
tvarja,v-r-j-j,['Spagnol2011'],dvɐrjɐ,VERB,to be varied,27.33726614717008
xandar,x-n-d-r,"['Spagnol2011', 'Falzon2013']",ʃɐndɐr,VERB,"to advertise, to publicise, to broadcast, to circulate, to reveal",34.79944915769787
xxandar,x-n-d-r,['Spagnol2011'],ʃʃɐndɐr,VERB,"to be broadcast, to be advertised",31.730325500142083
bidel,b-d-l,"['Spagnol2011', 'Falzon2013']",bɪdɛl,VERB,"to change something, to alter something",70.67008265077796
biddel,b-d-l,"['Spagnol2011', 'Falzon2013']",bɪddɛl,VERB,"to change something, to alter something, to change one's clothes",110.35204617611686
tbiddel,b-d-l,['Spagnol2011'],dbɪddɛl,VERB,"to be changed, to be exchanged",61.20594839172685
nbidel,b-d-l,['Spagnol2011'],mbɪdɛl,VERB,"to change, to be changed, to be exchanged",191.6617575064215
bagħat,b-għ-t,['Spagnol2011'],bɐːt,VERB,"to send, to dismiss, to discharge from one's duties, to fire",237.82699401295017
bell,b-l-l,['Spagnol2011'],bɛll,VERB,"to dunk, to dip",30.02124487515024
baqa',b-q-għ,['Spagnol2011'],bɐʔɐ,VERB,"to remain, to stay, to carry on, to persist",1205.519677277114
beraħ,b-r-ħ,['Spagnol2011'],bɛrɐh,VERB,to open wide,33.82053912835981
beża',b-ż-għ,['Spagnol2011'],bɛzɐ,VERB,"to fear, to be afraid",49.11801429994178
beda,b-d-j,"['Spagnol2011', 'Falzon2013']",bɛdɐ,VERB,"to begin, to start",814.1723095647786
nbeda,b-d-j,['Spagnol2011'],mbɛdɐ,VERB,to be started,59.06759164731216
bieda,b-d-w,['Spagnol2011'],bɪːdɐ,VERB,"to perform agricultural activities, to work the land",274.85306229475714
bied,b-j-d,['Spagnol2011'],bɪːd,VERB,to lay eggs,417.8341054733592
biegħ,b-j-għ,['Spagnol2011'],bɪːh,VERB,"to sell, to betray",55.91421753641171
nbiegħ,b-j-għ,['Spagnol2011'],mbɪːh,VERB,"to be sold, to be bribed or corrupted",77.7110133945824
beka,b-k-j,"['Spagnol2011', 'Falzon2013']",bɛkɐ,VERB,"to cry, to shed tears, to mourn somebody",23.19695815423208
bena,b-n-j,"['Spagnol2011', 'Falzon2013']",bɛnɐ,VERB,"to build, to pile, to make or create something",181.15853432278615
nbena,b-n-j,['Spagnol2011'],mbɛnɐ,VERB,"to be built, to be built up (used of a location or environment which has become urbanised), to be created",128.31745237028
barra,b-r-j,['Spagnol2011'],bɐrrɐ,VERB,"to exclude, to debar, to refuse",1101.6910233456842
bata,b-t-j,['Spagnol2011'],bɐtɐ,VERB,"to suffer, to experience hardship, to encounter difficulties",68.29502225172824
bies,b-w-s,['Spagnol2011'],bɪːs,VERB,to kiss,31.313085159768487
baxxa,b-x-j,"['Spagnol2011', 'Falzon2013']",bɐʃʃɐ,VERB,"to lower, to diminish, to degrade, to humiliate",77.93969319651792
ċaħad,ċ-ħ-d,"['Spagnol2011', 'Falzon2013']",ʧɐhɐt,VERB,"to deny, to disavow, to disclaim, to adjure, to deprive somebody of something, to disown, to renounce, to repudiate",50.843142630332615
ċara,ċ-r-j,['Spagnol2011'],ʧɐrɐ,VERB,"to clarify, to enlighten",327.89474056475063
deher,d-h-r,['Spagnol2011'],dɛːr,VERB,"to appear, to be seen, to resemble something or somebody, to make a spectacle of oneself, to give the impression of something",702.4923157668958
daħak,d-ħ-k,"['Spagnol2011', 'Falzon2013']",dɐhɐk,VERB,"giggle, laugh",36.10332522136536
daħal,d-ħ-l,['Spagnol2011'],dɐhɐl,VERB,"to enter, to gain entry, to obtain a job or responsibility, to start (usually used of seasons or other identifiable periods in the calendar), to become fashionable, to be imported",1074.6867470855432
daħħal,d-ħ-l,"['Spagnol2011', 'Falzon2013']",dɐhhɐl,VERB,"to insert, to give somebody a specific occupation, to import, to earn (used for money or profit), to introduce (especially a fashion or habit)",301.5724917840663
ddaħħal,d-ħ-l,['Spagnol2011'],ddɐhhɐl,VERB,"to be inserted, to be forced in, to be allowed in",138.61606731007828
ndaħal,d-ħ-l,['Spagnol2011'],ndɐhɐl,VERB,to interfere,24.66532319823916
dell,d-l-l,['Spagnol2011'],dɛll,VERB,"to shade, to cast a shadow",39.06011494112825
dlam,d-l-m,['Spagnol2011'],dlɐm,VERB,to grow dark,47.0318125980738
dann,d-n-n,['Spagnol2011'],dɐnn,VERB,to make a supposition,181.4393691672684
daqq,d-q-q,['Spagnol2011'],dɐʔʔ,VERB,"to play (an instrument or a piece of music), to beat cotton",42.0570239243886
dgħajjef,d-j-f,['Spagnol2011'],dɐɪjɛf,VERB,"to weaken, to enfeeble",25.70441212282341
dejjaq,d-j-q,"['Spagnol2011', 'Falzon2013']",dɛɪjɐʔ,VERB,"to narrow something, to annoy somebody, to bore somebody, to give somebody trouble",29.487658670634
ddejjaq,d-j-q,['Spagnol2011'],ddɛɪjɐʔ,VERB,"to be annoyed, to be bored, to be depressed, to be troubled",38.35802782992268
dar,d-j-r,['Spagnol2011'],dɐr,VERB,"to reside, to dwell",695.2347410002051
